X,Y,Z
-3268,1974,6517
-2598,2099,5535
-2602,2037,5573
-2501,2073,5689
-3146,1896,6677
-3085,1949,6765
-2656,1901,6768
-2196,1947,6150
-2415,1942,6345
-2334,1877,6657
-1939,1892,6506
-1798,1897,6457
-1485,1830,7140
-1372,1804,7246
-555,1681,7974
-4472,2373,3282
-4425,2350,3387
-4497,2338,3471
-4603,2296,3787
-4802,2232,4244
-4829,2226,4277
3188,2800,-986
-4094,2395,2879
-4646,2261,4065
-4648,2260,4072
-4743,2237,4198
-4027,2427,2848
-4038,2404,2874
-4209,2377,3314
-4204,2374,3308
-4621,2253,4086
-4631,2254,4123
-4019,2387,3079
-3865,2444,2893
-4036,2369,3431
-4278,2289,3849
-4255,2313,3845
-4338,2306,3877
-3826,2382,3104
-3917,2370,3231
-3980,2342,3389
-3980,2342,3389
-3961,2363,3453
-3961,2363,3453
-4045,2360,3508
-4023,2332,3596
-4110,2334,3715
-4171,2325,3751
-4158,2312,3854
-3691,2409,3062
-3726,2400,3093
-3793,2373,3164
-3893,2354,3574
-3922,2357,3588
-3935,2348,3604
-3924,2350,3612
-4000,2329,3634
-3987,2338,3629
-4012,2342,3651
-4002,2337,3641
-4003,2336,3651
-3953,2350,3609
-3942,2339,3677
-4067,2326,3757
-3946,2326,3691
-3989,2305,3874
-3632,2381,3379
-3613,2348,3380
-3772,2345,3620
-4248,2201,4539
-3424,2354,3204
-3847,2285,4069
-4527,2073,5402
-3175,2462,2909
-3325,2385,3254
-3654,2312,3917
-3727,2254,4065
-3725,2244,4155
-3628,2201,4374
-2946,2305,3281
-2975,2355,3612
-3555,2176,4476
-2894,2336,3440
-2792,2346,3509
-2792,2346,3509
-3149,2279,3979
-3182,2181,4019
-3075,2312,4086
-3412,2177,4649
-3621,1729,4610
-3330,1997,4796
-3359,1959,4803
-3395,2084,5354
-3528,2053,5484
-1990,2503,3006
-3304,1968,4838
-3273,1946,4889
-3358,2041,5756
-3589,43133000,6406
-3726,2035,6394
-1778,2492,3395
-3192,1962,5006
-3133,1914,4970
-3127,2060,5255
-3330,2017,5743
-3316,2032,5761
-3548,2004,6453
-3094,2024,6040
-2856,2026,5503
-2662,2035,5548
-2845,1905,5460
-2964,1978,6278
-2774,1936,6315
-2660,1770,5692
-2188,1923,6246
-2188,1923,6246
-2190,1907,6249
-2364,1909,6422
-2627,1824,7076
-2788,1823,7133
-1945,1887,6524
-2406,1795,7331
-2406,1795,7331
-2497,1783,7283
-2420,1777,7422
-1837,1888,6447
-1852,1882,6625
-844,1780,7441
-844,1780,7441
-758,1689,7645
-655,1662,7892
-582,1682,7863
-80,1600,8288
-75,1427,8962
2626,-566,-3402
4972,-554,-3536
4584,-211,-4214
4854,171,-3987
4984,326,-4093
4555,-123,-4174
4983,434,-4098
4608,-115,-4200
4997,-500,-562
4106,-846,-1547
8327,-858,1020
7678,-853,564
4850,-107,-501
5158,-258,-3498
7930,-987,740
8117,-1021,959
7999,-2166,2018
4101,-872,-1546
7638,-912,455
8142,-1051,988
5036,-419,-3652
7738,-947,592
5037,-382,-3671
4596,-199,-4204
4635,8,-4203
2533,1365,-3577
195,1466,-1175
4636,12,-4221
5062,-409,-3584
4610,-8,-4185
5062,-409,-3584
5068,-393,-3563
5034,-423,-3639
-1760,430,-2082
5068,-400,-3577
5200,-266,-3497
5051,1697,-3521
1143,2705,-2461
5393,212,-3197
5026,-384,-3654
322,15,-4032
1794,36,-4674
5027,-411,-3658
1279,377,2394
8412,-66,1211
8298,-105,1036
1792,104,-4809
5234,-265,-3530
4111,616,-1427
4638,507,-1890
4638,507,-1890
4699,601,-1901
7161,-856,-52
7212,-865,0
4111,516,-1472
5365,1322,-3419
4606,-145,-4217
1069,584,-4524
647,39,-4296
683,23,-4341
1131,-176,-4695
210,-328,-4186
624,13,-4284
637,-15,-4314
126,-321,-4246
8426,27,1228
7086,-747,-88
8801,-181,2516
3631,-497,-1399
5049,-209,-3734
