X,Y,Z,SIGNAL_STRENGTH
-4000,2329,3634,70
-3987,2338,3629,70
-4012,2342,3651,48
-4002,2337,3641,57
-4003,2336,3651,100
-3953,2350,3609,44
-3942,2339,3677,100
-4067,2326,3757,89
-3946,2326,3691,100
-3989,2305,3874,100
-3632,2381,3379,100
-3613,2348,3380,100
-3772,2345,3620,100
-4248,2201,4539,100
-3424,2354,3204,80
-3847,2285,4069,41
-4527,2073,5402,100
-3175,2462,2909,80
-3325,2385,3254,85
-3654,2312,3917,96
-3727,2254,4065,100
-3725,2244,4155,87
-3628,2201,4374,84
-2946,2305,3281,71
-2975,2355,3612,59
-3555,2176,4476,86
-2894,2336,3440,54
-2792,2346,3509,100
-2792,2346,3509,100
-3149,2279,3979,33
-3182,2181,4019,43
-3075,2312,4086,63
-3412,2177,4649,83
-3621,1729,4610,100
-3330,1997,4796,100
-3359,1959,4803,100
-3395,2084,5354,0
-3528,2053,5484,100
-1990,2503,3006,38
-3304,1968,4838,100
-3273,1946,4889,100
-3358,2041,5756,100
-3589,43133000,6406,100
-3726,2035,6394,100
-1778,2492,3395,31
-3192,1962,5006,100
-3133,1914,4970,79
-3127,2060,5255,100
-3330,2017,5743,100
-3316,2032,5761,100
-3548,2004,6453,100
-3094,2024,6040,100
-2856,2026,5503,100
-2662,2035,5548,100
-2845,1905,5460,100
-2964,1978,6278,100
-2774,1936,6315,0
-2660,1770,5692,100
-2188,1923,6246,100
-2188,1923,6246,100
-2190,1907,6249,100
-2364,1909,6422,0
-2627,1824,7076,0
-2788,1823,7133,0
-1945,1887,6524,100
-2406,1795,7331,0
-2406,1795,7331,100
-2497,1783,7283,100
-2420,1777,7422,0
-1837,1888,6447,100
-1852,1882,6625,100
-844,1780,7441,100
-844,1780,7441,100
-758,1689,7645,100
-655,1662,7892,100
-582,1682,7863,100
-80,1600,8288,100
-75,1427,8962,100
2626,-566,-3402,89
4972,-554,-3536,100
4584,-211,-4214,100
4854,171,-3987,100
4984,326,-4093,100
4555,-123,-4174,100
4983,434,-4098,100
4608,-115,-4200,87
4997,-500,-562,100
4106,-846,-1547,0
8327,-858,1020,0
7678,-853,564,100
4850,-107,-501,100
5158,-258,-3498,100
7930,-987,740,100
8117,-1021,959,100
7999,-2166,2018,0
4101,-872,-1546,0
7638,-912,455,100
