X,Y,Z,SIGNAL_STRENGTH
-4.68684,2.23235,4.11458,131.244
-4.69456,2.15221,4.86285,161.233
-4.42765,2.57461,2.26457,21.185
-4.40121,2.55722,2.30866,23
-4.40254,2.57071,2.48905,69.779
-4.5001,2.38199,3.23233,47.476
-4.53524,2.37476,3.28833,122.721
-4.48172,2.37447,3.25884,40.263
-4.46531,2.35713,3.33885,108.261
-4.56452,2.2394,4.03134,188.415
-4.56325,2.22367,4.69066,170.45
-4.31469,2.54471,2.11056,99.127
-4.29814,2.535,2.08828,56.811
-4.34347,2.57596,2.35084,135.206
-4.33572,2.5187,2.6599,73.861
-4.42873,2.35899,3.08863,76.893
-4.42156,2.33689,3.49492,130.319
-4.4764,2.20826,4.30955,104.601
-4.4935,2.18651,4.45005,157.874
-4.4935,2.18651,4.45005,157.874
-4.55027,2.1904,4.76023,163.721
-4.23481,2.57074,2.28153,23.712
-4.21854,2.55249,2.42932,71.099
-4.2639,2.54227,2.51106,65.327
-4.29513,2.45476,2.79865,80.616
-4.29113,2.44204,2.85382,102.622
-4.29517,2.36611,3.06456,83.035
-4.32953,2.37266,3.32224,77.48
-4.43555,2.24426,4.19969,0
-4.16924,2.57271,2.42303,100.74
-4.05071,2.59575,2.33305,104.039
-3.96004,2.50863,2.63474,110.17
-4.02143,2.36841,3.39928,134.138
-3.75211,2.63709,2.03513,50.729
-3.65753,2.53622,1.81676,53.174
-3.74058,2.36924,3.21577,161.989
-3.74134,2.31796,3.23806,86.028
-3.73512,2.34213,3.39203,109.202
-3.7533,2.37885,3.43979,93.854
-3.74281,2.36989,3.45091,66.43
-3.83192,2.28427,3.84811,135.732
-3.7813,2.24595,4.15153,171.323
-3.75678,2.29225,4.21523,115.027
-3.8201,2.23357,4.2289,94.64
-3.83876,2.19756,4.42156,118.038
-3.79978,2.20621,5.12519,60.22
-3.5409,2.57837,2.33522,65.729
-3.62858,2.43624,2.97267,96.067
-3.60268,2.38539,3.42456,88.409
-3.63081,2.35808,3.58726,142.024
-3.63133,2.31379,3.85618,127.893
-3.68589,2.29478,3.93965,155.454
-3.69563,2.26903,4.26091,92.156
-3.76842,2.17606,4.50429,155.924
-3.4183,2.5797,1.92376,59.327
-3.32696,2.56891,2.40701,57.957
-3.48232,2.41113,2.88329,109.43
-3.44274,2.39216,2.99426,90.811
-3.46925,2.3715,3.25588,94.181
-3.54866,2.32611,3.36247,82.751
-3.60462,2.25827,4.12194,105.704
-3.63453,2.23693,4.21972,132.119
-3.59975,2.21613,4.37332,138.098
-3.57329,2.19265,4.38326,151.956
-3.59685,2.19024,4.41765,105.96
-3.60456,2.17272,4.44686,123.152
-3.61211,2.19765,5.3683,62.16
-3.61211,2.19765,5.3683,62.16
-3.26507,2.57851,2.11049,69.843
-3.22576,2.6096,2.26675,88.604
-3.30686,2.39767,3.08885,86.056
-3.33725,2.36962,3.35123,95.088
-3.47086,2.23272,4.3169,122.636
-3.52334,2.15674,4.49599,134.137
-3.59924,2.07814,4.70929,0
-3.17822,2.42177,2.8994,73.832
-3.37932,2.28654,3.07509,86.811
-3.24649,2.39575,3.31444,110.778
-3.08616,2.47562,2.75014,97.105
-3.14052,2.41405,3.10131,97.772
-3.18735,2.27511,4.91973,156.971
-2.91981,2.49654,2.05171,83.294
-2.99107,2.4245,2.90383,75.344
-3.00263,2.35672,3.47804,98.632
-3.23171,2.00387,5.7733,185.03
-2.5816,2.51423,2.59156,31.131
-2.65554,2.3802,1.79398,27.391
-2.62702,2.40136,1.84391,38.473
-2.56866,2.3458,3.70707,86.746
-2.39739,2.35496,3.64494,64.931
-1.98532,2.47323,2.80054,44.202
-5.05124,2.30204,3.67599,102.465
-4.80429,2.32652,3.56305,133.998
-4.76186,2.34078,3.45861,111.878
-4.70048,2.37259,3.38864,87.259
-4.74318,2.24099,4.17063,0
-4.77604,2.23212,4.22907,82.484
-4.46564,2.5666,2.20283,May.59
-4.6269,2.24238,4.10541,135.888
-4.53139,2.36347,3.29161,73.989
-4.29152,2.46997,2.86217,87.975
-4.47423,2.18647,4.65902,176.379
-4.18504,2.54901,2.5484,91.822
-4.19653,2.52382,2.60757,94.794
-4.20488,2.43317,2.90125,119.665
-4.26423,2.35569,3.49547,110.971
-4.26264,2.35489,3.56386,117.102
-4.21952,2.32324,3.70646,84.907
-4.15017,2.40309,2.94939,74.519
-4.19257,2.34814,3.81625,129.824
-4.24766,2.17448,4.53022,134.362
-4.27885,2.22482,4.66415,158.244
-3.97961,2.42607,2.95325,83.381
-4.08529,2.34742,3.56279,94.444
-4.11009,2.33377,3.71503,154.899
-4.11664,2.32226,3.73845,128.828
-4.08484,2.32636,3.71331,140.454
-4.07862,2.32864,3.74044,95.928
-4.04835,2.35606,3.87533,94.974
-4.16079,2.19402,4.31213,161.326
-3.93228,2.33972,3.67577,157.643
-4.05422,2.21636,4.40507,134.956
-4.01674,2.19668,4.41004,142.825
-3.7578,2.55264,2.50418,118.071
-3.86625,2.40514,3.0295,76.409
-3.90831,2.33358,3.71165,138.86
-3.65406,2.57419,2.34822,66.213
-3.75906,2.31896,3.3819,95.327
-3.74732,2.3674,3.48358,133.914
-3.70149,2.35612,3.52745,136.17
-3.81108,2.28623,3.98615,93.939
-3.80181,2.19302,4.18098,161.127
-3.75967,2.24995,4.19101,70.932
-3.83537,2.27716,4.30862,56.334
-3.78283,2.25041,4.25086,0
-3.7971,2.22338,4.25448,112.646
-3.77239,2.22504,4.26793,102.956
-3.44125,2.55744,2.48292,132.911
-3.57111,2.48694,2.65668,66.245
-3.71235,2.26987,4.0913,95.857
-3.7371,2.18561,4.12211,172.828
-3.44215,2.37338,3.43752,121.131
-3.4752,2.32002,3.78619,104.762
-3.58149,2.30766,3.93087,114.22
-3.52363,2.25395,4.05078,113.807
-3.34892,2.33588,3.76797,75.039
-3.46252,2.32045,3.88373,77.441
-3.46431,2.30939,3.9578,120.953
-3.27335,2.36577,3.65661,124.408
-3.42259,2.08128,4.54905,0
-3.33792,2.18567,4.65066,70.242
-2.96945,2.39205,3.28042,65.665
-3.02592,2.34336,3.37153,100.849
-2.93899,2.31527,4.17304,53.213
-3.40906,1.61144,5.71261,186.557
-2.78941,2.11384,5.37966,169.633
-4.11423,2.04024,5.67029,168.914
-2.0028,2.41014,3.67026,6.772
-2.90271,2.32199,4.14713,46.534
-3.86166,2.06023,6.15231,134.996
-2.64828,1.67022,5.89167,164.508
-4.97555,2.19504,4.48894,84.858
-4.46649,2.24862,4.1546,87.207
-3.51415,2.38641,3.31122,81.563
-3.85295,2.09758,5.99653,143.854
-4.81664,2.20667,4.43165,123.963
-4.78364,2.17289,4.67521,136.767
-4.89003,2.15735,4.81697,83.385
-3.77084,2.44023,2.73597,May.58
-4.20703,2.32104,3.58968,69.674
-4.29951,2.29227,3.83313,75.157
-4.36139,2.26886,4.01096,100.007
-4.79163,2.14878,4.86774,123.017
-3.42558,2.36474,3.21666,76.107
-3.57197,2.36841,3.46079,84.118
-3.99153,2.26006,4.90152,165.11
-3.89647,2.23691,4.90843,140.598
-3.75145,2.21541,5.08501,173.615
